Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
0;fall down;сваливаться;;;;несовер.;сваливаться/свалиться;reflexive;not movement;сваливаюсь;сваливаешься;сваливается;сваливаетесь;сваливаемся;сваливаются;сваливайся;сваливайтесь;сваливаясь;сваливавшись;сваливающийся;сваливавшийся;сваливающийся;сваливавшийся
3095;show, display;проявить;;;;совер.;проявлять/проявить;not reflexive;not movement;проявлю;проявишь;проявит;проявите;проявим;проявят;прояви;проявите;;проявив;;проявивший;;проявленный
3096;dare, make bold / free;сметь;;;;несовер.;сметь/посметь;not reflexive;movement;смею;смеешь;смеет;смеете;смеем;смеют;смей;смейте;смея;смев;смеющий;смевший;смеющий;смевший
0;dare, make bold / free;посметь;;;;совер.;сметь/посметь;not reflexive;movement;посмею;посмеешь;посмеет;посмеете;посмеем;посмеют;посмей;посмейте;;посмев, *посмевши;;посмевший;;
3099;do;поделать;;;;совер.;;not reflexive;not movement;поделаю;поделаешь;поделает;поделаете;поделаем;поделают;поделай;поделайте;;поделав;;поделавший;;
3100;push, shove;толкнуть;;;;совер.;толкать/толкнуть;not reflexive;not movement;толкну;толкнёшь;толкнёт;толкнёте;толкнём;толкнут;толкни;толкните;;толкнув;;толкнувший;;
3103;treat (medically);лечить;;;;несовер.;лечить/полечить;not reflexive;not movement;лечу;лечишь;лечит;лечите;лечим;лечат;лечи;лечите;леча;лечив;лечащий;лечивший;;леченный
0;treat (medically);полечить;;;;совер.;лечить/полечить;not reflexive;not movement;полечу;полечишь;полечит;полечите;полечим;полечат;полечи;полечите;;полечив, *полечивши;;полечивший;;полеченный
3105;выругаться swear, curse;ругаться;;;;несовер.;ругаться/выругаться;reflexive;not movement;ругаюсь;ругаешься;ругается;ругаетесь;ругаемся;ругаются;ругайся;ругайтесь;ругаясь;ругавшись;ругающийся;ругавшийся;ругающийся;ругавшийся
0;swear, curse;выругаться;;;;совер.;ругаться/выругаться;reflexive;not movement;выругаюсь;выругаешься;выругается;выругаетесь;выругаемся;выругаются;выругайся;выругайтесь;;выругавшись;;выругавшийся;;
3109;lay;уложить;;;;совер.;укладывать/уложить;not reflexive;not movement;уложу;уложишь;уложит;уложите;уложим;уложат;уложи;уложите;;уложив;;уложивший;;уложенный
0;lay;укладывать;;;;несовер.;укладывать/уложить;not reflexive;not movement;укладываю;укладываешь;укладывает;укладываете;укладываем;укладывают;укладывай;укладывайте;укладывая;укладывав, *укладывавши;укладывающий;укладывавший;укладываемый;
3112;envy, be envious / jealous (of);завидовать;;;;несовер.;завидовать/позавидовать;not reflexive;movement;завидую;завидуешь;завидует;завидуете;завидуем;завидуют;завидуй;завидуйте;завидуя;завидовав;завидующий;завидовавший;завидующий;завидовавший
0;envy, be envious / jealous (of);позавидовать;;;;совер.;завидовать/позавидовать;not reflexive;movement;позавидую;позавидуешь;позавидует;позавидуете;позавидуем;позавидуют;позавидуй;позавидуйте;;позавидовав, *позавидовавши, *позавидуя;;позавидовавший;;
3115;flap;хлопать;;;;несовер.;хлопать/хлопнуть;not reflexive;not movement;хлопаю;хлопаешь;хлопает;хлопаете;хлопаем;хлопают;хлопай;хлопайте;хлопая;хлопав;хлопающий;хлопавший;хлопаемый;хлопанный
3116;wipe, dry;вытереть;;;;совер.;вытирать/вытереть;not reflexive;not movement;вытру;вытрешь;вытрет;вытрете;вытрем;вытрут;вытри;вытрите;;вытерев, вытерши;;вытерший;;вытертый
3118;merit, deserve;заслужить;;;;совер.;заслуживать/заслужить;not reflexive;not movement;заслужу;заслужишь;заслужит;заслужите;заслужим;заслужат;заслужи;заслужите;;заслужив;;заслуживший;;заслуженный
0;merit, deserve;заслуживать;;;;несовер.;заслуживать/заслужить;not reflexive;not movement;заслуживаю;заслуживаешь;заслуживает;заслуживаете;заслуживаем;заслуживают;заслуживай;заслуживайте;заслуживая;заслуживав, *заслуживавши;заслуживающий;заслуживавший;заслуживаемый;
3120;see, lead;довести;;;;совер.;доводить/довести;not reflexive;not movement;доведу;доведёшь;доведёт;доведёте;доведём;доведут;доведи;доведите;;доведя;;доведший;;доведённый
0;see, lead;доводить;;;;несовер.;доводить/довести;not reflexive;not movement;довожу;доводишь;доводит;доводите;доводим;доводят;доводи;доводите;;доводив, *доводивши;;доводивший;;
3124;shake;трястись;;;;несовер.;трястись/тряхнуть;reflexive;not movement;трясусь;трясёшься;трясётся;трясётесь;трясёмся;трясутся;трясись;тряситесь;трясясь;трясшись;трясущийся;трясшийся;трясущийся;трясшийся
0;shake;тряхнуть;;;;совер.;трястись/тряхнуть;not reflexive;not movement;тряхну;тряхнёшь;тряхнёт;тряхнёте;тряхнём;тряхнут;тряхни;тряхните;;тряхнув, *тряхнувши;;тряхнувший;;-
3126;be present (at), assist (at);присутствовать;;;;несовер.;;not reflexive;movement;присутствую;присутствуешь;присутствует;присутствуете;присутствуем;присутствуют;присутствуй;присутствуйте;присутствуя;присутствовав;присутствующий;присутствовавший;присутствующий;присутствовавший
3136;pull out, tear out;вырвать;;;;совер.;вырываться/вырвать;not reflexive;not movement;вырву;вырвешь;вырвет;вырвете;вырвем;вырвут;вырви;вырвите;;вырвав;;вырвавший;;вырванный
0;break away / free / out / loose (from), tear oneself away (from);вырываться;;;;несовер.;вырываться/вырваться;reflexive;not movement;вырываюсь;вырываешься;вырывается;вырываетесь;вырываемся;вырываются;вырывайся;вырывайтесь;вырываясь;вырывавшись;вырывающийся;вырывавшийся;вырывающийся;вырывавшийся
3139;flash (by), gleam;мелькнуть;;;;несовер.;мелькнуть/замелькать;not reflexive;movement;;;;;;;мелькни;мелькните;;мелькнув;;мелькнувший;;
0;flash (by), gleam;замелькать;;;;совер.;мелькнуть/замелькать;not reflexive;movement;замелькаю;замелькаешь;замелькает;замелькаете;замелькаем;замелькают;замелькай;замелькайте;;замелькав, *замелькавши;;замелькавший;;
3144;stoop, bend;наклониться;;;;совер.;наклоняться/наклониться;reflexive;not movement;наклонюсь;наклонишься;наклонится;наклонитесь;наклонимся;наклонятся;наклонись;наклонитесь;;наклонившись, наклонясь;;наклонившийся;;
0;stoop, bend;наклоняться;;;;несовер.;наклоняться/наклониться;reflexive;not movement;наклоняюсь;наклоняешься;наклоняется;наклоняетесь;наклоняемся;наклоняются;наклоняйся;наклоняйтесь;наклоняясь;наклонявшись;наклоняющийся;наклонявшийся;наклоняющийся;наклонявшийся
3145;feel / be shy / self-conscious / embarrassed;стесняться;;;;несовер.;стесняться/постесняться;reflexive;not movement;стесняюсь;стесняешься;стесняется;стесняетесь;стесняемся;стесняются;стесняйся;стесняйтесь;стесняясь;стеснявшись;стесняющийся;стеснявшийся;стесняющийся;стеснявшийся
0;be ashamed (of), hesitate;постесняться;;;;совер.;стесняться/постесняться;reflexive;not movement;постесняюсь;постесняешься;постесняется;постесняетесь;постесняемся;постесняются;постесняйся;постесняйтесь;;постеснявшись;;постеснявшийся;;
3147;change (into), change (from);превратить;;;;совер.;превращаться/превратить;not reflexive;not movement;превращу;превратишь;превратит;превратите;превратим;превратят;преврати;превратите;;превратив;;превративший;;превращённый
3148;take offence / umbrage (at), be offended (by);обижаться;;;;несовер.;обижаться/обидеться;reflexive;not movement;обижаюсь;обижаешься;обижается;обижаетесь;обижаемся;обижаются;обижайся;обижайтесь;обижаясь;обижавшись;обижающийся;обижавшийся;обижающийся;обижавшийся
3149;cover (with);накрыть;;;;совер.;накрывать/накрыть;not reflexive;not movement;накрою;накроешь;накроет;накроете;накроем;накроют;накрой;накройте;;накрыв;;накрывший;;накрытый
0;cover (with);накрывать;;;;несовер.;накрывать/накрыть;not reflexive;not movement;накрываю;накрываешь;накрывает;накрываете;накрываем;накрывают;накрывай;накрывайте;накрывая;накрывав, *накрывавши;накрывающий;накрывавший;накрываемый;
3150;carry, drag;таскать;;;;несовер.;таскать/вытаскать;not reflexive;not movement;таскаю;таскаешь;таскает;таскаете;таскаем;таскают;таскай;таскайте;таская;таскав;таскающий;таскавший;таскаемый;тасканный
0;pull out;вытаскать;;;;совер.;вытаскивать/вытаскать;not reflexive;not movement;вытаскаю;вытаскаешь;вытаскает;вытаскаете;вытаскаем;вытаскают;вытаскай;вытаскайте;;вытаскав, *вытаскавши;;вытаскавший;;вытасканный
3151;set in(to), put in(to);вставить;;;;совер.;вставлять/вставить;not reflexive;not movement;вставлю;вставишь;вставит;вставите;вставим;вставят;вставь;вставьте;;вставив;;вставивший;;вставленный
0;set in(to), put in(to);вставлять;;;;несовер.;вставлять/вставить;not reflexive;not movement;вставляю;вставляешь;вставляет;вставляете;вставляем;вставляют;вставляй;вставляйте;вставляя;вставляв, *вставлявши;вставляющий;вставлявший;вставляемый;
3153;cool down, congeal;застыть;;;;совер.;застывать/застыть;not reflexive;movement;застыну;застынешь;застынет;застынете;застынем;застынут;застынь;застыньте;;застыв;;застывший;;
0;cool down, congeal;застывать;;;;несовер.;застывать/застыть;not reflexive;movement;застываю;застываешь;застывает;застываете;застываем;застывают;застывай;застывайте;застывая;застывав, *застывавши;застывающий;застывавший;застывающий;застывавший
3156;flood, saturate;залить;;;;совер.;заливать/залить;not reflexive;not movement;залью;зальёшь;зальёт;зальёте;зальём;зальют;залей;залейте;;залив;;заливший;;залитый
0;flood, saturate;заливать;;;;несовер.;заливать/залить;not reflexive;not movement;заливаю;заливаешь;заливает;заливаете;заливаем;заливают;заливай;заливайте;заливая;заливав, *заливавши;заливающий;заливавший;заливаемый;
3160;rush / whirl / speed / tear along, race;мчаться;;;;несовер.;мчаться/помчаться;reflexive;not movement;мчусь;мчишься;мчится;мчитесь;мчимся;мчатся;мчись;мчитесь;мчась;мчавшись;мчащийся;мчавшийся;мчащийся;мчавшийся
3167;burn (down, up);сжечь;;;;совер.;жечь/сжечь;not reflexive;not movement;сожгу;сожжёшь;сожжёт;сожжёте;сожжём;сожгут;сожги;сожгите;;сжёгши;;сжёгший;;сожжённый
0;burn (down, up);жечь;;;;несовер.;жечь/сжечь;not reflexive;not movement;жгу;жжёшь;жжёт;жжёте;жжём;жгут;жги;жгите;-;жёгши;жгущий;жёгший;-;жжённый
3168;fear, apprehend;опасаться;;;;несовер.;;reflexive;not movement;опасаюсь;опасаешься;опасается;опасаетесь;опасаемся;опасаются;опасайся;опасайтесь;опасаясь;опасавшись;опасающийся;опасавшийся;опасающийся;опасавшийся
3173;hold one's ground, hold out;удержаться;;;;совер.;удерживаться/удержаться;reflexive;not movement;удержусь;удержишься;удержится;удержитесь;удержимся;удержатся;удержись;удержитесь;;удержавшись;;удержавшийся;;
0;hold one's ground, hold out;удерживаться;;;;несовер.;удерживаться/удержаться;reflexive;not movement;удерживаюсь;удерживаешься;удерживается;удерживаетесь;удерживаемся;удерживаются;удерживайся;удерживайтесь;удерживаясь;удерживавшись;удерживающийся;удерживавшийся;удерживающийся;удерживавшийся
3174;send (secretly);подослать;;;;совер.;подсылать/подослать;not reflexive;not movement;подошлю;подошлёшь;подошлёт;подошлёте;подошлём;подошлют;подошли;подошлите;;подослав;;подославший;;подосланный
