Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
979;try, judge;судить;;;;не/совер.;;not reflexive;not movement;сужу;судишь;судит;судите;судим;судят;суди;судите;судя;судив;судящий;судивший;судимый;
981;gather, assemble;собраться;;;;совер.;собираться/собраться;reflexive;not movement;соберусь;соберёшься;соберётся;соберётесь;соберёмся;соберутся;соберись;соберитесь;;собравшись;;собравшийся;;
983;split, cleave;колоть;;;;несовер.;колоть/расколоть;not reflexive;not movement;колю;колешь;колет;колете;колем;колют;коли;колите;коля;колов;колющий;коловший;;колотый
0;split, cleave;расколоть;;;;совер.;колоть/расколоть;not reflexive;not movement;расколю;расколешь;расколет;расколете;расколем;расколют;расколи;расколите;;расколов, *расколовши;;расколовший;;расколотый
987;begin to cry, cry out;закричать;;;;совер.;кричать/закричать;not reflexive;movement;закричу;закричишь;закричит;закричите;закричим;закричат;закричи;закричите;;закричав;;закричавший;;
988;end, finish;кончиться;;;;совер.;кончаться/кончиться;reflexive;not movement;кончусь;кончишься;кончится;кончитесь;кончимся;кончатся;кончись;кончитесь;;кончившись;;кончившийся;;
990;shoot (at), fire (at);стрелять;;;;несовер.;стрелять/выстрелить;not reflexive;not movement;стреляю;стреляешь;стреляет;стреляете;стреляем;стреляют;стреляй;стреляйте;стреляя;стреляв;стреляющий;стрелявший;стреляемый;стрелянный
995;use, utilize;использовать;;;;не/совер.;;not reflexive;not movement;использую;используешь;использует;используете;используем;используют;используй;используйте;используя;использовав;использующий;использовавший;используемый;использованный
997;smell (of), reck (of);пахнуть;;;;несовер.;;not reflexive;movement;пахну;пахнешь;пахнет;пахнете;пахнем;пахнут;пахни;пахните;;пахнув, пахши;пахнущий;пахнувший, пахший;пахнущий;пахнувший, пахший
1001;pass, hand (over);передать;;;;совер.;передавать/передать;not reflexive;not movement;передам;передашь;передаст;передадите;передадим;передадут;передай;передайте;;передав;;передавший;;переданный
1005;stand up, get up;вставать;;;;несовер.;вставать/встать;not reflexive;movement;встаю;встаёшь;встаёт;встаёте;встаём;встают;вставай;вставайте;вставая;вставав;встающий;встававший;встающий;встававший
1013;take away, take off;снимать;;;;несовер.;снимать/снять;not reflexive;not movement;снимаю;снимаешь;снимает;снимаете;снимаем;снимают;снимай;снимайте;снимая;снимав;снимающий;снимавший;снимаемый;
1018;ring, chime;звонить;;;;несовер.;звонить/позвонить;not reflexive;not movement;звоню;звонишь;звонит;звоните;звоним;звонят;звони;звоните;звоня;звонив;звонящий;звонивший;звонящий;звонивший
1023;remind (of), dun (of);напоминать;;;;несовер.;напоминать/напомнить;not reflexive;not movement;напоминаю;напоминаешь;напоминает;напоминаете;напоминаем;напоминают;напоминай;напоминайте;напоминая;напоминав;напоминающий;напоминавший;напоминаемый;
1024;think out, devise;придумать;;;;совер.;придумывать/придумать;not reflexive;not movement;придумаю;придумаешь;придумает;придумаете;придумаем;придумают;придумай;придумайте;;придумав;;придумавший;;придуманный
0;think out, devise;придумывать;;;;несовер.;придумывать/придумать;not reflexive;not movement;придумываю;придумываешь;придумывает;придумываете;придумываем;придумывают;придумывай;придумывайте;придумывая;придумывав, *придумывавши;придумывающий;придумывавший;придумываемый;
1025;fall, drop;падать;;;;несовер.;падать/пасть;not reflexive;movement;падаю;падаешь;падает;падаете;падаем;падают;;;падая;падав;падающий;падавший;падающий;падавший
0;fall, drop;пасть;;;;совер.;падать/пасть;not reflexive;movement;паду;падёшь;падёт;падёте;падём;падут;пади;падите;;пав, *павши;;павший;;
1028;talk (about), discuss;поговорить;;;;совер.;говорить/поговорить;not reflexive;movement;поговорю;поговоришь;поговорит;поговорите;поговорим;поговорят;поговори;поговорите;;поговорив;;поговоривший;;
1029;begin, start;начинаться;;;;несовер.;начинаться/начаться;reflexive;not movement;начинаюсь;начинаешься;начинается;начинаетесь;начинаемся;начинаются;начинайся;начинайтесь;начинаясь;начинавшись;начинающийся;начинавшийся;начинающийся;начинавшийся
1031;order (to), command (to);приказать;;;;совер.;приказывать/приказать;not reflexive;not movement;прикажу;прикажешь;прикажет;прикажете;прикажем;прикажут;прикажи;прикажите;;приказав;;приказавший;;приказанный
1034;смеяться, begin to laugh;засмеяться;;;;совер.;смеяться/засмеяться;reflexive;not movement;засмеюсь;засмеёшься;засмеётся;засмеётесь;засмеёмся;засмеются;засмейся;засмейтесь;;засмеявшись;;засмеявшийся;;
1037;touch (with);касаться;;;;несовер.;касаться/коснуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
1044;begin, start;приняться;;;;совер.;приниматься/приняться;reflexive;not movement;примусь;примешься;примется;приметесь;примемся;примутся;примись;примитесь;ся;приняв;;принявшийся;;принятыйся
1051;compel, force;заставить;;;;совер.;заставлять/заставить;not reflexive;not movement;заставлю;заставишь;заставит;заставите;заставим;заставят;заставь;заставьте;;заставив;;заставивший;;заставленный
1065;rise, go up;подниматься;;;;несовер.;подниматься/подняться;reflexive;not movement;поднимаюсь;поднимаешься;поднимается;поднимаетесь;поднимаемся;поднимаются;поднимайся;поднимайтесь;поднимаясь;поднимавшись;поднимающийся;поднимавшийся;поднимающийся;поднимавшийся
1070;strike, hit;ударить;;;;совер.;ударять/ударить;not reflexive;not movement;ударю;ударишь;ударит;ударите;ударим;ударят;ударь;ударьте;;ударив;;ударивший;;
0;strike, hit;ударять;;;;несовер.;ударять/ударить;not reflexive;not movement;ударяю;ударяешь;ударяет;ударяете;ударяем;ударяют;ударяй;ударяйте;ударяя;ударяв, *ударявши;ударяющий;ударявший;ударяемый;
1071;be meant / understood, be taken to mean;разуметься;;;;несовер.;разуметься/разуметь;reflexive;not movement;разумеюсь;разумеешься;разумеется;разумеетесь;разумеемся;разумеются;разумейся;разумейтесь;разумеясь;разумевшись;разумеющийся;разумевшийся;разумеющийся;разумевшийся
0;understand, know;разуметь;;;;несовер.;разуметь/разуметься;not reflexive;not movement;разумею;разумеешь;разумеет;разумеете;разумеем;разумеют;разумей;разумейте;разумея;разумев, *разумевши;разумеющий;разумевший;разумеемый;-
1081;meet (with), come / run across;встречаться;;;;несовер.;встречаться/встретиться;reflexive;not movement;встречаюсь;встречаешься;встречается;встречаетесь;встречаемся;встречаются;встречайся;встречайтесь;встречаясь;встречавшись;встречающийся;встречавшийся;встречающийся;встречавшийся
1087;try, attempt;попытаться;;;;совер.;пытаться/попытаться;reflexive;not movement;попытаюсь;попытаешься;попытается;попытаетесь;попытаемся;попытаются;попытайся;попытайтесь;;попытавшись;;попытавшийся;;
1091;grasp, grab;схватить;;;;совер.;хватать/схватить;not reflexive;not movement;схвачу;схватишь;схватит;схватите;схватим;схватят;схвати;схватите;;схватив;;схвативший;;схваченный
1095;refuse, decline;отказаться;;;;совер.;отказываться/отказаться;reflexive;not movement;откажусь;откажешься;откажется;откажетесь;откажемся;откажутся;откажись;откажитесь;ся;отказав;;отказавшийся;;отказанныйся
1096;take out, pull out;вытащить;;;;совер.;вытаскивать/вытащить;not reflexive;not movement;вытащу;вытащишь;вытащит;вытащите;вытащим;вытащат;вытащи;вытащите;;вытащив;;вытащивший;;вытащенный
1097;offer;предлагать;;;;несовер.;предлагать/предложить;not reflexive;not movement;предлагаю;предлагаешь;предлагает;предлагаете;предлагаем;предлагают;предлагай;предлагайте;предлагая;предлагав;предлагающий;предлагавший;предлагаемый;
1101;go (to a place), make (for a place);отправиться;;;;совер.;отправляться/отправиться;reflexive;not movement;отправлюсь;отправишься;отправится;отправитесь;отправимся;отправятся;отправься;отправьтесь;;отправившись;;отправившийся;;
1102;run, run about;побежать;;;;совер.;бежать/побежать;not reflexive;movement;побегу;побежишь;побежит;побежите;побежим;побегут;побеги;побегите;;побежав;;побежавший;;
1105;smoke;курить;;;;несовер.;курить/покурить;not reflexive;not movement;курю;куришь;курит;курите;курим;курят;кури;курите;куря;курив;курящий;куривший;;куренный
0;have a smoke;покурить;;;;совер.;курить/покурить;not reflexive;not movement;покурю;покуришь;покурит;покурите;покурим;покурят;покури;покурите;;покурив, *покуривши;;покуривший;;
1110;open;открывать;;;;несовер.;открывать/открыть;not reflexive;not movement;открываю;открываешь;открывает;открываете;открываем;открывают;открывай;открывайте;открывая;открывав;открывающий;открывавший;открываемый;
1111;go / come (to), call (on);зайти;;;;совер.;заходить/зайти;not reflexive;movement;зайду;зайдёшь;зайдёт;зайдёте;зайдём;зайдут;зайди, заходи;зайдите, заходите;;зайдя;;зашедший;;
1113;notice, mark;замечать;;;;несовер.;замечать/заметить;not reflexive;not movement;замечаю;замечаешь;замечает;замечаете;замечаем;замечают;замечай;замечайте;замечая;замечав;замечающий;замечавший;замечаемый;
1116;finish, conclude;закончить;;;;совер.;заканчивать/закончить;not reflexive;not movement;закончу;закончишь;закончит;закончите;закончим;закончат;закончи;закончите;;закончив;;закончивший;;законченный
0;finish, conclude;заканчивать;;;;несовер.;заканчивать/закончить;not reflexive;not movement;заканчиваю;заканчиваешь;заканчивает;заканчиваете;заканчиваем;заканчивают;заканчивай;заканчивайте;заканчивая;заканчивав, *заканчивавши;заканчивающий;заканчивавший;заканчиваемый;
1121;watch, spy (on / upon);следить;;;;несовер.;следить/проследить;not reflexive;movement;слежу;следишь;следит;следите;следим;следят;следи;следите;следя;следив;следящий;следивший;следящий;следивший
0;spy (on / upon), track;проследить;;;;совер.;следить/проследить;not reflexive;not movement;прослежу;проследишь;проследит;проследите;проследим;проследят;проследи;проследите;;проследив, *проследивши;;проследивший;;прослеженный
1127;dash (to), rush (to);броситься;;;;совер.;бросаться/броситься;reflexive;not movement;брошусь;бросишься;бросится;броситесь;бросимся;бросятся;бросься;бросьтесь;;бросившись;;бросившийся;;
1133;shut, close;закрыть;;;;совер.;закрывать/закрыть;not reflexive;not movement;закрою;закроешь;закроет;закроете;закроем;закроют;закрой;закройте;;закрыв;;закрывший;;закрытый
1139;please, like;понравиться;;;;совер.;нравиться/понравиться;reflexive;not movement;понравлюсь;понравишься;понравится;понравитесь;понравимся;понравятся;понравься;понравьтесь;;понравившись;;понравившийся;;
1140;turn (to, into);обратиться;;;;совер.;обращаться/обратиться;reflexive;not movement;обращусь;обратишься;обратится;обратитесь;обратимся;обратятся;обратись;обратитесь;;обратившись, обратясь;;обратившийся;;
1153;order, tell;велеть;;;;не/совер.;;not reflexive;movement;велю;велишь;велит;велите;велим;велят;вели;велите;веля;велев;велящий;велевший;велящий;велевший
1160;be at / in / on hand, have;иметься;;;;несовер.;иметься/иметь;reflexive;not movement;имеюсь;имеешься;имеется;имеетесь;имеемся;имеются;имейся;имейтесь;имеясь;имевшись;имеющийся;имевшийся;имеющийся;имевшийся
1164;lower, sink;опустить;;;;совер.;опускать/опустить;not reflexive;not movement;опущу;опустишь;опустит;опустите;опустим;опустят;опусти;опустите;;опустив;;опустивший;;опущенный
1165;be born;родиться;;;;не/совер.;;reflexive;not movement;рожусь;родишься;родится;родитесь;родимся;родятся;родись;родитесь;родясь;;родящийся, рожающийся;;родящийся, рожающийся;
1167;save, rescue;спасти;;;;совер.;спасать/спасти;not reflexive;not movement;спасу;спасёшь;спасёт;спасёте;спасём;спасут;спаси;спасите;;спасши, спася;;спасший;;спасённый
1171;excuse, pardon;извинить;;;;совер.;извинять/извинить;not reflexive;not movement;извиню;извинишь;извинит;извините;извиним;извинят;извини;извините;;извинив;;извинивший;;извинённый
0;excuse, pardon;извинять;;;;несовер.;извинять/извинить;not reflexive;not movement;извиняю;извиняешь;извиняет;извиняете;извиняем;извиняют;извиняй;извиняйте;извиняя;извинявши;извиняющий;извинявший;извиняемый;
1173;declare, tell;объявить;;;;совер.;объявлять/объявить;not reflexive;not movement;объявлю;объявишь;объявит;объявите;объявим;объявят;объяви;объявите;;объявив;;объявивший;;объявленный
1176;turn (to, into);обращаться;;;;несовер.;обращаться/обратиться;reflexive;not movement;обращаюсь;обращаешься;обращается;обращаетесь;обращаемся;обращаются;обращайся;обращайтесь;обращаясь;обращавшись;обращающийся;обращавшийся;обращающийся;обращавшийся
1179;dismount;спешить;;;;несовер.;спешить/спешить;not reflexive;movement;спешу;спешишь;спешит;спешите;спешим;спешат;спеши;спешите;спеша;спешив;спешащий;спешивший;спешащий;спешивший
1183;watch, observe;наблюдать;;;;несовер.;;not reflexive;not movement;наблюдаю;наблюдаешь;наблюдает;наблюдаете;наблюдаем;наблюдают;наблюдай;наблюдайте;наблюдая;наблюдав;наблюдающий;наблюдавший;наблюдаемый;
1186;be able, know how;суметь;;;;совер.;уметь/суметь;not reflexive;movement;сумею;сумеешь;сумеет;сумеете;сумеем;сумеют;сумей;сумейте;;сумев;;сумевший;;
1187;wrap oneself (with, in);обернуться;;;;совер.;обертываться/обернуться;reflexive;not movement;обернусь;обернёшься;обернётся;обернётесь;обернёмся;обернутся;обернись;обернитесь;;обернувшись;;обернувшийся;;
0;wrap oneself (with, in);обертываться;;;;несовер.;обертываться/обернуться;reflexive;not movement;;;;;;;;;;;;;;
1190;awake, wake up;проснуться;;;;совер.;просыпаться/проснуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
1196;wait (for);подождать;;;;совер.;;not reflexive;movement;подожду;подождёшь;подождёт;подождёте;подождём;подождут;подожди;подождите;;подождав;;подождавший;;
1201;begin to speak;заговорить;;;;совер.;заговаривать/заговорить;not reflexive;movement;заговорю;заговоришь;заговорит;заговорите;заговорим;заговорят;заговори;заговорите;;заговорив;;заговоривший;;
0;begin / start / try to talk / speak;заговаривать;;;;несовер.;заговаривать/заговорить;not reflexive;movement;заговариваю;заговариваешь;заговаривает;заговариваете;заговариваем;заговаривают;заговаривай;заговаривайте;заговаривая;заговаривав, *заговаривавши;заговаривающий;заговаривавший;заговаривающий;заговаривавший
1203;make) use (of), profit (by);пользоваться;;;;несовер.;пользоваться/воспользоваться;reflexive;not movement;пользуюсь;пользуешься;пользуется;пользуетесь;пользуемся;пользуются;пользуйся;пользуйтесь;пользуясь;пользовавшись;пользующийся;пользовавшийся;пользующийся;пользовавшийся
1205;repeat, review;повторять;;;;несовер.;повторять/повторить;not reflexive;not movement;повторяю;повторяешь;повторяет;повторяете;повторяем;повторяют;повторяй;повторяйте;повторяя;повторяв;повторяющий;повторявший;повторяемый;
1208;научить, обучить;учить;;;;несовер.;учить/учиться;not reflexive;not movement;учу;учишь;учит;учите;учим;учат;учи;учите;уча;учив;учащий;учивший;;ученный
1209;undertake;взяться;;;;совер.;браться/взяться;reflexive;not movement;возьмусь;возьмёшься;возьмётся;возьмётесь;возьмёмся;возьмутся;возьмись;возьмитесь;;взявшись;;взявшийся;;
1210;бежать, run;бегать;;;;несовер.;бегать/бежать;not reflexive;movement;бегаю;бегаешь;бегает;бегаете;бегаем;бегают;бегай;бегайте;бегая;бегав;бегающий;бегавший;бегающий;бегавший
1213;arrange, organize;устроить;;;;совер.;устраивать/устроить;not reflexive;not movement;устрою;устроишь;устроит;устроите;устроим;устроят;устрой;устройте;;устроив;;устроивший;;устроенный
1214;breathe, respire;дышать;;;;несовер.;дышать/подышать;not reflexive;not movement;дышу;дышишь;дышит;дышите;дышим;дышат;дыши;дышите;дыша;дышав;дышащий;дышавший;дышащий;дышавший
0;breathe, respire;подышать;;;;совер.;дышать/подышать;not reflexive;movement;подышу;подышишь;подышит;подышите;подышим;подышат;подыши;подышите;;подышав, *подышавши;;подышавший;;
1215;lie (down);лечь;;;;совер.;ложиться/лечь;not reflexive;not movement;лягу;ляжешь;ляжет;ляжете;ляжем;лягут;ляг;лягте;;лёгши;;лёгший;;
1220;consist (in), lie (in);состоять;;;;несовер.;;not reflexive;movement;состою;состоишь;состоит;состоите;состоим;состоят;;;состоя;состояв;состоящий;состоявший;состоящий;состоявший
1221;go / come (to), call (on);заходить;;;;несовер.;заходить/зайти;not reflexive;movement;захожу;заходишь;заходит;заходите;заходим;заходят;заходи;заходите;;заходив;;заходивший;;
1226;settle accounts (with), consider;считаться;;;;несовер.;считаться/посчитаться;reflexive;not movement;считаюсь;считаешься;считается;считаетесь;считаемся;считаются;;;;;считающийся;считавшийся;считающийся;считавшийся
0;get even (with), settle scores (with);посчитаться;;;;совер.;считаться/посчитаться;reflexive;not movement;посчитаюсь;посчитаешься;посчитается;посчитаетесь;посчитаемся;посчитаются;посчитайся;посчитайтесь;;посчитавшись;;посчитавшийся;;
1231;go, ride;ездить;;;;несовер.;ездить/ехать;not reflexive;movement;езжу;ездишь;ездит;ездите;ездим;ездят;езди, поезжай;ездите, поезжайте;ездя;ездив;ездящий;ездивший;ездящий;ездивший
1233;stop, bring to a stop;остановить;;;;совер.;останавливаться/остановить;not reflexive;not movement;остановлю;остановишь;остановит;остановите;остановим;остановят;останови;остановите;;остановив;;остановивший;;остановленный
1234;meet (with), come / run across;встретиться;;;;совер.;встречаться/встретиться;reflexive;not movement;встречусь;встретишься;встретится;встретитесь;встретимся;встретятся;встреться;встретьтесь;;встретившись;;встретившийся;;
1235;appear, present;явиться;;;;совер.;являться/явиться;reflexive;not movement;явлюсь;явишься;явится;явитесь;явимся;явятся;явись;явитесь;ся;явив;;явившийся;;явленныйся
1240;bring, import;привезти;;;;совер.;привозить/привезти;not reflexive;not movement;привезу;привезёшь;привезёт;привезёте;привезём;привезут;привези;привезите;;привезя;;привёзший;;привезённый
0;bring, import;привозить;;;;несовер.;привозить/привезти;not reflexive;not movement;привожу;привозишь;привозит;привозите;привозим;привозят;привози;привозите;привозя;привозив, *привозивши;привозящий;привозивший;привозимый;
1241;pay;платить;;;;несовер.;платить/уплатить;not reflexive;not movement;плачу;платишь;платит;платите;платим;платят;плати;платите;платя;платив;платящий;плативший;;плаченный
0;pay;уплатить;;;;совер.;платить/уплатить;not reflexive;not movement;уплачу;уплатишь;уплатит;уплатите;уплатим;уплатят;уплати;уплатите;;уплатив, *уплативши;;уплативший;;уплаченный
1246;fall down (from);спасть;;;;совер.;спадать/спасть;not reflexive;movement;спаду;спадёшь;спадёт;спадёте;спадём;спадут;спади;спадите;с;спав;;спавший;;
0;fall down (from);спадать;;;;несовер.;спадать/спасть;not reflexive;movement;спадаю;спадаешь;спадает;спадаете;спадаем;спадают;с-;с-;спадая;спадав, *падавши;спадающий;спадавший;спадающий;спадавший
1248;be in good health;здравствовать;;;;несовер.;;not reflexive;movement;здравствую;здравствуешь;здравствует;здравствуете;здравствуем;здравствуют;здравствуй;здравствуйте;здравствуя;здравствовав;здравствующий;здравствовавший;здравствующий;здравствовавший
1250;allow (to), permit (to);позволять;;;;несовер.;позволять/позволить;not reflexive;not movement;позволяю;позволяешь;позволяет;позволяете;позволяем;позволяют;позволяй;позволяйте;позволяя;позволяв;позволяющий;позволявший;позволяемый;
1269;declare, announce;заявить;;;;совер.;заявлять/заявить;not reflexive;not movement;заявлю;заявишь;заявит;заявите;заявим;заявят;заяви;заявите;;заявив;;заявивший;;заявленный
1276;jut out, protrude;торчать;;;;несовер.;;not reflexive;movement;торчу;торчишь;торчит;торчите;торчим;торчат;торчи;торчите;торча;торчав;торчащий;торчавший;торчащий;торчавший
1288;(try to) catch;поймать;;;;совер.;ловить/поймать;not reflexive;not movement;поймаю;поймаешь;поймает;поймаете;поймаем;поймают;поймай;поймайте;;поймав;;поймавший;;пойманный
1294;gather, collect;собирать;;;;несовер.;собирать/собрать;not reflexive;not movement;собираю;собираешь;собирает;собираете;собираем;собирают;собирай;собирайте;собирая;собирав;собирающий;собиравший;собираемый;
1299;find, discover;находить;;;;несовер.;находить/найти;not reflexive;not movement;нахожу;находишь;находит;находите;находим;находят;находи;находите;;находив;;находивший;;нахоженный
1310;gather, collect;собрать;;;;совер.;собраться/собрать;not reflexive;not movement;соберу;соберёшь;соберёт;соберёте;соберём;соберут;собери;соберите;;собрав;;собравший;;собранный
1311;tread / step (on);наступить;;;;совер.;наступать/наступить;not reflexive;movement;наступлю;наступишь;наступит;наступите;наступим;наступят;наступи;наступите;;наступив;;наступивший;;
1313;pull, draw;тянуть;;;;несовер.;тянуть/потянуть;not reflexive;not movement;тяну;тянешь;тянет;тянете;тянем;тянут;тяни;тяните;;тянув;тянущий;тянувший;;тянутый
1317;throw, hurl;бросать;;;;несовер.;бросать/бросить;not reflexive;not movement;бросаю;бросаешь;бросает;бросаете;бросаем;бросают;бросай;бросайте;бросая;бросав;бросающий;бросавший;бросаемый;
1318;dream (of);мечтать;;;;несовер.;;not reflexive;not movement;мечтаю;мечтаешь;мечтает;мечтаете;мечтаем;мечтают;мечтай;мечтайте;мечтая;мечтав;мечтающий;мечтавший;мечтающий;мечтавший
1319;want, like;захотеть;;;;совер.;хотеть/захотеть;not reflexive;not movement;захочу;захочешь;захочет;захотите;захотим;захотят;захоти;захотите;;захотев;;захотевший;;
1322;leave, leave alone;оставлять;;;;несовер.;оставлять/оставить;not reflexive;not movement;оставляю;оставляешь;оставляет;оставляете;оставляем;оставляют;оставляй;оставляйте;оставляя;оставляв;оставляющий;оставлявший;оставляемый;
1323;grin;усмехнуться;;;;совер.;усмехаться/усмехнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
0;grin;усмехаться;;;;несовер.;усмехаться/усмехнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
1329;precipice, abyss;пропасть;;;;совер.;пропадать/пропасть;not reflexive;movement;пропаду;пропадёшь;пропадёт;пропадёте;пропадём;пропадут;пропади;пропадите;;пропав;;пропавший;;
1330;stand, bear;выдержать;;;;совер.;выдерживать/выдержать;not reflexive;not movement;выдержу;выдержишь;выдержит;выдержите;выдержим;выдержат;выдержи;выдержите;;выдержав;;выдержавший;;выдержанный
0;stand, bear;выдерживать;;;;несовер.;выдерживать/выдержать;not reflexive;not movement;выдерживаю;выдерживаешь;выдерживает;выдерживаете;выдерживаем;выдерживают;выдерживай;выдерживайте;выдерживая;выдерживав, *выдерживавши;выдерживающий;выдерживавший;выдерживаемый;
1335;meet, come across;встречать;;;;несовер.;встречать/встретить;not reflexive;not movement;встречаю;встречаешь;встречает;встречаете;встречаем;встречают;встречай;встречайте;встречая;встречав;встречающий;встречавший;встречаемый;
1336;let (go), allow;пускать;;;;несовер.;пускать/пустить;not reflexive;not movement;пускаю;пускаешь;пускает;пускаете;пускаем;пускают;пускай;пускайте;пуская;пускав;пускающий;пускавший;пускаемый;
1348;let go, let off;отпустить;;;;совер.;отпускать/отпустить;not reflexive;not movement;отпущу;отпустишь;отпустит;отпустите;отпустим;отпустят;отпусти;отпустите;;отпустив;;отпустивший;;отпущенный
1350;exclaim, cry;воскликнуть;;;;совер.;восклицать/воскликнуть;not reflexive;movement;воскликну;воскликнешь;воскликнет;воскликнете;воскликнем;воскликнут;воскликни;воскликните;;воскликнув;;воскликнувший;;
0;exclaim, cry;восклицать;;;;несовер.;восклицать/воскликнуть;not reflexive;movement;восклицаю;восклицаешь;восклицает;восклицаете;восклицаем;восклицают;восклицай;восклицайте;восклицая;восклицав, *восклицавши;восклицающий;восклицавший;восклицающий;восклицавший
1352;tremble, shake;дрожать;;;;несовер.;;not reflexive;movement;дрожу;дрожишь;дрожит;дрожите;дрожим;дрожат;дрожи;дрожите;дрожа;дрожав;дрожащий;дрожавший;дрожащий;дрожавший
1354;choose, select;выбрать;;;;совер.;выбирать/выбрать;not reflexive;not movement;выберу;выберешь;выберет;выберете;выберем;выберут;выбери;выберите;;выбрав;;выбравший;;выбранный
1359;press, squeeze;пожать;;;;совер.;пожимать/пожать;not reflexive;not movement;пожну;пожнёшь;пожнёт;пожнёте;пожнём;пожнут;пожни;пожните;;пожав;;пожавший;;пожатый
0;press, squeeze;пожимать;;;;несовер.;пожимать/пожать;not reflexive;not movement;пожимаю;пожимаешь;пожимает;пожимаете;пожимаем;пожимают;пожимай;пожимайте;пожимая;пожимав, *пожимавши;пожимающий;пожимавший;пожимаемый;
1361;re)sound, be heard;раздаться;;;;совер.;раздаваться/раздаться;reflexive;not movement;раздамся;раздашься;раздастся;раздадитесь;раздадимся;раздадутся;раздайся;раздайтесь;раз;раздавшись;;раздавшийся;;
1376;explain, illustrate;объяснять;;;;несовер.;объяснять/объяснить;not reflexive;not movement;объясняю;объясняешь;объясняет;объясняете;объясняем;объясняют;объясняй;объясняйте;объясняя;объяснявши;объясняющий;объяснявший;объясняемый;
1377;turn, direct;обратить;;;;совер.;обращаться/обратить;not reflexive;not movement;обращу;обратишь;обратит;обратите;обратим;обратят;обрати;обратите;;обратив;;обративший;;обращённый
1378;poke, thrust;сунуть;;;;совер.;совать/сунуть;not reflexive;not movement;суну;сунешь;сунет;сунете;сунем;сунут;сунь;суньте;;сунув;;сунувший;;сунутый
0;poke, thrust;совать;;;;несовер.;совать/сунуть;not reflexive;not movement;сую;суёшь;суёт;суёте;суём;суют;суй;суйте;суя;совав, *совавши;сующий;совавший;-;
1380;permit, allow;разрешить;;;;совер.;разрешать/разрешить;not reflexive;not movement;разрешу;разрешишь;разрешит;разрешите;разрешим;разрешат;разреши;разрешите;;разрешив;;разрешивший;;разрешённый
0;permit, allow;разрешать;;;;несовер.;разрешать/разрешить;not reflexive;not movement;разрешаю;разрешаешь;разрешает;разрешаете;разрешаем;разрешают;разрешай;разрешайте;разрешая;разрешав, *разрешавши;разрешающий;разрешавший;разрешаемый;
1386;confess (to), own (to);признаться;;;;совер.;признаваться/признаться;reflexive;not movement;признаюсь;признаешься;признается;признаетесь;признаемся;признаются;признайся;признайтесь;;признавшись;;признавшийся;;
0;confess (to), own (to);признаваться;;;;несовер.;признаваться/признаться;reflexive;not movement;*признаюсь;*признаёшься;признаётся;*признаётесь;*признаёмся;признаются;признавайся;признавайтесь;признаваясь;признававшись;признающийся;признававшийся;признающийся;признававшийся
1388;put together, arrange;составлять;;;;несовер.;составлять/составить;not reflexive;not movement;составляю;составляешь;составляет;составляете;составляем;составляют;составляй;составляйте;составляя;составляв;составляющий;составлявший;составляемый;
1391;see;видать;;;;несовер.;;not reflexive;not movement;видаю;видаешь;видает;видаете;видаем;видают;видай;видайте;видая;видав;видающий;видавший;видаемый;виданный
1402;borrow;занимать;;;;несовер.;занимать/занять;not reflexive;not movement;занимаю;занимаешь;занимает;занимаете;занимаем;занимают;занимай;занимайте;занимая;занимав;занимающий;занимавший;занимаемый;
1409;lose, shed;терять;;;;несовер.;терять/потерять;not reflexive;not movement;теряю;теряешь;теряет;теряете;теряем;теряют;теряй;теряйте;теряя;теряв;теряющий;терявший;теряемый;терянный
1413;jump (on, into);вскочить;;;;совер.;вскакивать/вскочить;not reflexive;movement;вскочу;вскочишь;вскочит;вскочите;вскочим;вскочат;вскочи;вскочите;;вскочив;;вскочивший;;
1414;read (for some time);прочитать;;;;совер.;прочитывать/прочитать;not reflexive;not movement;прочитаю;прочитаешь;прочитает;прочитаете;прочитаем;прочитают;прочитай;прочитайте;;прочитав;;прочитавший;;прочитанный
0;to recite, to read through;прочитывать;;;;несовер.;прочитывать/прочитать;not reflexive;not movement;прочитываю;прочитываешь;прочитывает;прочитываете;прочитываем;прочитывают;прочитывай;прочитывайте;прочитывая;прочитывав, *прочитывавши;прочитывающий;прочитывавший;прочитываемый;
1421;climb (up, on to);лезть;;;;несовер.;лезть/полезть;not reflexive;movement;лезу;лезешь;лезет;лезете;лезем;лезут;лезь, полезай;лезьте, полезайте;лезя;лезши;лезущий;лезший;лезущий;лезший
1423;send, dispatch;отправить;;;;совер.;отправляться/отправить;not reflexive;not movement;отправлю;отправишь;отправит;отправите;отправим;отправят;отправь;отправьте;;отправив;;отправивший;;отправленный
1424;build (up), construct;построить;;;;совер.;строить/построить;not reflexive;not movement;построю;построишь;построит;построите;построим;построят;построй;постройте;;построив;;построивший;;построенный
